product_type,year,month,import_value
Cheese,2020,June,74.349
Grains & feeds,2020,June,1270.508
Grain products,2020,June,869.478
Oilseeds & products,2020,June,801.89
Vegetable oils,2020,June,604.553
Fruits & preparations,2020,June,1609.354
"Fruits, fresh or frozen",2020,June,1346.832
"Fruits, prepared or preserved",2020,June,262.523
Fruit juices,2020,June,129.029
Vegetables & preparations,2020,June,1290.695
"Vegetables, fresh or frozen",2020,June,960.716
"Vegetables, prepared or preserved",2020,June,301.269
Tree nuts & preparations,2020,June,212.43
Cotton & linters,2020,June,0.29
Wine,2020,June,403.683
Malt beverages,2020,June,448.089
Essential oils,2020,June,205.933
Cut flowers & nursery stock,2020,June,131.533
Sugar & related products,2020,June,431.477
Confections,2020,June,155.577
Cocoa & products,2020,June,401.925
Coffee & products,2020,June,602.91
"Rubber, natural",2020,June,65.276
Live animals,2020,July,179.699
Red meats & products,2020,July,956.428
Beef & veal,2020,July,727.184
Pork,2020,July,113.444
Dairy products,2020,July,289.347
Cheese,2020,July,90.809
Grains & feeds,2020,July,1290.634
Grain products,2020,July,885.62
Oilseeds & products,2020,July,778.567
Vegetable oils,2020,July,578.324
Fruits & preparations,2020,July,1222.476
"Fruits, fresh or frozen",2020,July,945.579
"Fruits, prepared or preserved",2020,July,276.897
Fruit juices,2020,July,137.563
Vegetables & preparations,2020,July,1282.295
"Vegetables, fresh or frozen",2020,July,943.05
"Vegetables, prepared or preserved",2020,July,311.157
Tree nuts & preparations,2020,July,216.245
Cotton & linters,2020,July,0.037
Wine,2020,July,426.128
Malt beverages,2020,July,559.461
Essential oils,2020,July,312.576
Cut flowers & nursery stock,2020,July,146.039
Sugar & related products,2020,July,430.706
Confections,2020,July,160.44
Cocoa & products,2020,July,385.151
Coffee & products,2020,July,510.689
"Rubber, natural",2020,July,61.087
Live animals,2020,August,157.594
Red meats & products,2020,August,911.713
Beef & veal,2020,August,674.282
Pork,2020,August,129.415
Dairy products,2020,August,277.057
Cheese,2020,August,115.2
Grains & feeds,2020,August,1323.221
Grain products,2020,August,944.25
Oilseeds & products,2020,August,759.486
Vegetable oils,2020,August,591.263
Fruits & preparations,2020,August,1311.633
"Fruits, fresh or frozen",2020,August,1024.749
"Fruits, prepared or preserved",2020,August,286.884
Fruit juices,2020,August,122.312
Vegetables & preparations,2020,August,1234.854
"Vegetables, fresh or frozen",2020,August,885.227
"Vegetables, prepared or preserved",2020,August,328.862
Tree nuts & preparations,2020,August,205.644
Cotton & linters,2020,August,0.045
Wine,2020,August,571.36
Malt beverages,2020,August,570.47
Essential oils,2020,August,239.644
Cut flowers & nursery stock,2020,August,155.445
Sugar & related products,2020,August,420.44
Confections,2020,August,164.081
Cocoa & products,2020,August,385.686
Coffee & products,2020,August,454.113
"Rubber, natural",2020,August,71.888
Live animals,2020,September,190.117
Red meats & products,2020,September,830.506
Beef & veal,2020,September,592.365
Pork,2020,September,125.823
Dairy products,2020,September,278.872
Cheese,2020,September,107.585
Grains & feeds,2020,September,1328.259
Grain products,2020,September,973.414
Oilseeds & products,2020,September,699.271
Vegetable oils,2020,September,513.353
Fruits & preparations,2020,September,1307.28
"Fruits, fresh or frozen",2020,September,1026.98
"Fruits, prepared or preserved",2020,September,280.3
Fruit juices,2020,September,140.495
Vegetables & preparations,2020,September,1264.114
"Vegetables, fresh or frozen",2020,September,925.146
"Vegetables, prepared or preserved",2020,September,316.673
Tree nuts & preparations,2020,September,231.694
Cotton & linters,2020,September,0.028
Wine,2020,September,442.542
Malt beverages,2020,September,539.053
Essential oils,2020,September,237.24
Cut flowers & nursery stock,2020,September,179.11
Sugar & related products,2020,September,467.004
Confections,2020,September,168.655
Cocoa & products,2020,September,424.851
Coffee & products,2020,September,435.655
"Rubber, natural",2020,September,79.419
Live animals,2020,October,274.258
Red meats & products,2020,October,781.99
Beef & veal,2020,October,519.074
Pork,2020,October,147.183
Dairy products,2020,October,260.759
Cheese,2020,October,114.676
Grains & feeds,2020,October,1437.383
Grain products,2020,October,1043.378
Oilseeds & products,2020,October,728.778
Vegetable oils,2020,October,523.499
Fruits & preparations,2020,October,1482.12
"Fruits, fresh or frozen",2020,October,1189.824
"Fruits, prepared or preserved",2020,October,292.296
Fruit juices,2020,October,156.342
Vegetables & preparations,2020,October,1418.923
"Vegetables, fresh or frozen",2020,October,1051.591
"Vegetables, prepared or preserved",2020,October,341.407
Tree nuts & preparations,2020,October,248.621
Cotton & linters,2020,October,0.068
Wine,2020,October,527.855
Malt beverages,2020,October,556.167
Essential oils,2020,October,217.717
Cut flowers & nursery stock,2020,October,190.839
Sugar & related products,2020,October,464.123
Confections,2020,October,182.118
Cocoa & products,2020,October,414.409
Coffee & products,2020,October,478.945
"Rubber, natural",2020,October,71.009
Live animals,2020,November,283.606
Red meats & products,2020,November,777.232
Beef & veal,2020,November,501.273
Pork,2020,November,147.816
Dairy products,2020,November,274.784
Cheese,2020,November,122.42
Grains & feeds,2020,November,1336.456
Grain products,2020,November,989.544
Oilseeds & products,2020,November,755.273
Vegetable oils,2020,November,545.165
Fruits & preparations,2020,November,1407.043
"Fruits, fresh or frozen",2020,November,1142.713
"Fruits, prepared or preserved",2020,November,264.33
Fruit juices,2020,November,156.677
Vegetables & preparations,2020,November,1466.038
"Vegetables, fresh or frozen",2020,November,1092.428
"Vegetables, prepared or preserved",2020,November,349.183
Tree nuts & preparations,2020,November,235.907
Cotton & linters,2020,November,0
Wine,2020,November,541.751
Malt beverages,2020,November,567.868
Essential oils,2020,November,247.115
Cut flowers & nursery stock,2020,November,232.591
Sugar & related products,2020,November,400.657
Confections,2020,November,173.787
Cocoa & products,2020,November,384.059
Coffee & products,2020,November,448.022
"Rubber, natural",2020,November,108.258
Live animals,2020,December,277.765
Red meats & products,2020,December,726.416
Beef & veal,2020,December,461.57
Pork,2020,December,123.729
Dairy products,2020,December,295.97
Cheese,2020,December,119.165
Grains & feeds,2020,December,1267.836
Grain products,2020,December,906.33
Oilseeds & products,2020,December,799.761
Vegetable oils,2020,December,595.515
Fruits & preparations,2020,December,1590.963
"Fruits, fresh or frozen",2020,December,1319.857
"Fruits, prepared or preserved",2020,December,271.106
Fruit juices,2020,December,182.513
Vegetables & preparations,2020,December,1500.363
"Vegetables, fresh or frozen",2020,December,1126.721
"Vegetables, prepared or preserved",2020,December,346.931
Tree nuts & preparations,2020,December,231.673
Cotton & linters,2020,December,0.231
Wine,2020,December,472.85
Malt beverages,2020,December,468.162
Essential oils,2020,December,334.773
Cut flowers & nursery stock,2020,December,182.985
Sugar & related products,2020,December,375.677
Confections,2020,December,176.122
Cocoa & products,2020,December,403.474
Coffee & products,2020,December,511.633
"Rubber, natural",2020,December,110.021
