"product_types","month","export_value","year"
"Vegetables, fresh","July",222.165,2021
"Vegetables, fresh","August",184.022,2021
"Vegetables, fresh","September",187.077,2021
"Vegetables, prepared or preserved","January",365.73,2021
"Vegetables, prepared or preserved","Feburary",349.863,2021
"Vegetables, prepared or preserved","March",425.062,2021
"Vegetables, prepared or preserved","April",439.33,2021
"Vegetables, prepared or preserved","May",416.049,2021
"Vegetables, prepared or preserved","June",392.363,2021
"Vegetables, prepared or preserved","July",394.443,2021
"Vegetables, prepared or preserved","August",371.654,2021
"Vegetables, prepared or preserved","September",355.887,2021
"Tree nuts and preparations","January",652.487,2021
"Tree nuts and preparations","Feburary",772.798,2021
"Tree nuts and preparations","March",825.609,2021
"Tree nuts and preparations","April",769.674,2021
"Tree nuts and preparations","May",689.898,2021
"Tree nuts and preparations","June",621.037,2021
"Tree nuts and preparations","July",662.181,2021
"Tree nuts and preparations","August",629.822,2021
"Tree nuts and preparations","September",687.162,2021
"Wine","January",85.385,2021
"Wine","Feburary",91.02,2021
"Wine","March",120.846,2021
"Wine","April",125.536,2021
"Wine","May",123.646,2021
"Wine","June",123.851,2021
"Wine","July",139.579,2021
"Wine","August",130.588,2021
"Wine","September",107.74,2021
"Distilled spirits","January",86.428,2021
"Distilled spirits","Feburary",103.451,2021
"Distilled spirits","March",136.489,2021
"Distilled spirits","April",133.494,2021
"Distilled spirits","May",143.99,2021
"Distilled spirits","June",136.06,2021
"Distilled spirits","July",112.406,2021
"Distilled spirits","August",136.279,2021
"Distilled spirits","September",139.295,2021
"Ethanol (non-beverage)","January",255.659,2021
"Ethanol (non-beverage)","Feburary",193.96,2021
"Ethanol (non-beverage)","March",226.734,2021
"Ethanol (non-beverage)","April",228.288,2021
"Ethanol (non-beverage)","May",159.316,2021
"Ethanol (non-beverage)","June",189.11,2021
"Ethanol (non-beverage)","July",138.819,2021
"Ethanol (non-beverage)","August",187.739,2021
"Ethanol (non-beverage)","September",185.67,2021
"Cotton and linters","January",609.39,2021
"Cotton and linters","Feburary",605.143,2021
"Cotton and linters","March",671.518,2021
"Cotton and linters","April",672.619,2021
"Cotton and linters","May",697.22,2021
"Cotton and linters","June",533.505,2021
"Cotton and linters","July",486.017,2021
"Cotton and linters","August",429.046,2021
"Cotton and linters","September",257.746,2021
"Tobacco","January",97.642,2021
"Tobacco","Feburary",128.75,2021
"Tobacco","March",104.296,2021
"Tobacco","April",89.849,2021
"Tobacco","May",86.253,2021
"Tobacco","June",86.24,2021
"Tobacco","July",107.915,2021
"Tobacco","August",104.254,2021
"Tobacco","September",77.034,2021
"Tobacco, unmanufactured","January",78.151,2021
"Tobacco, unmanufactured","Feburary",112.579,2021
"Tobacco, unmanufactured","March",82.039,2021
"Tobacco, unmanufactured","April",72.478,2021
"Tobacco, unmanufactured","May",69.704,2021
"Tobacco, unmanufactured","June",68.324,2021
"Tobacco, unmanufactured","July",91.801,2021
"Tobacco, unmanufactured","August",87.343,2021
"Tobacco, unmanufactured","September",63.037,2021
"Tobacco, manufactured","January",19.491,2021
"Tobacco, manufactured","Feburary",16.171,2021
"Tobacco, manufactured","March",22.257,2021
"Tobacco, manufactured","April",17.371,2021
"Tobacco, manufactured","May",16.549,2021
"Tobacco, manufactured","June",17.916,2021
"Tobacco, manufactured","July",16.114,2021
"Tobacco, manufactured","August",16.911,2021
"Tobacco, manufactured","September",13.997,2021
"Sugar and tropical products","January",194,2021
"Sugar and tropical products","Feburary",183.457,2021
"Sugar and tropical products","March",170.828,2021
"Sugar and tropical products","April",116.042,2021
"Sugar and tropical products","May",98.378,2021
"Sugar and tropical products","June",93.677,2021
"Sugar and tropical products","July",96.433,2021
"Sugar and tropical products","August",84.397,2021
"Sugar and tropical products","September",91.704,2021
