"product_types","month","export_volume","year"
"Major bulk","Feburary",13955.8333,2021
"Major bulk","March",15401.192,2021
"Major bulk","April",14295.5679,2021
"Major bulk","May",13493.5873,2021
"Major bulk","June",10062.466,2021
"Major bulk","July",9435.5669,2021
"Major bulk","August",8191.0453,2021
"Major bulk","September",7615.393,2021
"Red meats and products","December",484.6536,2020
"Poultry meats","December",301.7908,2020
"Nonfat dry milk","December",61.8612,2020
"Wheat","December",1945.896,2020
"Rice","December",449.7411,2020
"Coarse grains","December",5499.938,2020
"Corn","December",4617.542,2020
"Sorghum","December",854.186,2020
"Soybeans","December",10817.6915,2020
"Oil meal","December",1316.9073,2020
"Vegetable oils 3/","December",232.348,2020
"Fruits, fresh","December",190.4311,2020
"Fruits, prepared or preserved","December",43.2086,2020
"Fruit juices 3/","December",41.034,2020
"Vegetables, fresh","December",183.9058,2020
"Vegetables, prepared or preserved","December",261.9839,2020
"Nuts and preparations","December",219.8232,2020
"Cotton and linters","December",311.6047,2020
"Major bulk","December",19029.2338,2020
