"product_type","year","month","export_volume"
"Vegetables, fresh","2018","July",196.7951
"Vegetables, fresh","2018","August",177.887
"Vegetables, fresh","2018","September",174.3935
"Vegetables, fresh","2018","October",189.793
"Vegetables, fresh","2018","November",207.0475
"Vegetables, fresh","2018","December",213.7621
"Vegetables, prepared or preserved","2018","January",190.1895
"Vegetables, prepared or preserved","2018","February",196.5591
"Vegetables, prepared or preserved","2018","March",229.5036
"Vegetables, prepared or preserved","2018","April",234.2628
"Vegetables, prepared or preserved","2018","May",237.8007
"Vegetables, prepared or preserved","2018","June",216.2109
"Vegetables, prepared or preserved","2018","July",200.0684
"Vegetables, prepared or preserved","2018","August",200.9533
"Vegetables, prepared or preserved","2018","September",207.7332
"Vegetables, prepared or preserved","2018","October",215.1764
"Vegetables, prepared or preserved","2018","November",230.6654
"Vegetables, prepared or preserved","2018","December",242.0963
"Nuts & preparations","2018","January",137.2996
"Nuts & preparations","2018","February",154.6352
"Nuts & preparations","2018","March",166.8057
"Nuts & preparations","2018","April",136.9894
"Nuts & preparations","2018","May",122.7452
"Nuts & preparations","2018","June",111.5922
"Nuts & preparations","2018","July",106.5863
"Nuts & preparations","2018","August",103.5289
"Nuts & preparations","2018","September",126.814
"Nuts & preparations","2018","October",206.0846
"Nuts & preparations","2018","November",247.8701
"Nuts & preparations","2018","December",192.8902
"Cotton & linters","2018","January",359.6655
"Cotton & linters","2018","February",433.1098
"Cotton & linters","2018","March",509.4476
"Cotton & linters","2018","April",480.3702
"Cotton & linters","2018","May",434.7297
"Cotton & linters","2018","June",311.307
"Cotton & linters","2018","July",237.3773
"Cotton & linters","2018","August",178.6088
"Cotton & linters","2018","September",156.1482
"Cotton & linters","2018","October",133.2588
"Cotton & linters","2018","November",149.8868
"Cotton & linters","2018","December",213.1728
"Major bulk","2018","January",12631.6212
"Major bulk","2018","February",10876.4547
"Major bulk","2018","March",13728.389
"Major bulk","2018","April",13320.7305
"Major bulk","2018","May",13531.9827
"Major bulk","2018","June",12469.4493
"Major bulk","2018","July",12529.5931
"Major bulk","2018","August",11953.5031
"Major bulk","2018","September",10746.711
"Major bulk","2018","October",13633.4878
"Major bulk","2018","November",12658.7224
"Major bulk","2018","December",11408.2733
