"product","year","month","country","value"
"Fruits, fresh or frozen","2018","November","Costa Rica",68.187
"Fruits, fresh or frozen","2018","November","Ecuador",46.123
"Fruits, fresh or frozen","2018","November","Canada",27.689
"Fruits, fresh or frozen","2018","November","Honduras",24.608
"Fruits, fresh or frozen","2018","November","Colombia",16.346
"Fruits, fresh or frozen","2018","November","New Zealand",3.144
"Fruits, fresh or frozen","2018","November","World",958.145
"Fruits, fresh or frozen","2018","December","Mexico",485.483
"Fruits, fresh or frozen","2018","December","Chile",126.364
"Fruits, fresh or frozen","2018","December","Guatemala",112.132
"Fruits, fresh or frozen","2018","December","Peru",123.645
"Fruits, fresh or frozen","2018","December","Costa Rica",70.937
"Fruits, fresh or frozen","2018","December","Ecuador",47.93
"Fruits, fresh or frozen","2018","December","Canada",16.02
"Fruits, fresh or frozen","2018","December","Honduras",21.67
"Fruits, fresh or frozen","2018","December","Colombia",15.935
"Fruits, fresh or frozen","2018","December","Argentina",19.317
"Fruits, fresh or frozen","2018","December","World",1100.447
"Fruits, prepared or preserved","2018","January","Mexico",57.51
"Fruits, prepared or preserved","2018","January","China",51.81
"Fruits, prepared or preserved","2018","January","Thailand",33.27
"Fruits, prepared or preserved","2018","January","Canada",18.927
"Fruits, prepared or preserved","2018","January","European Union-28 3/",16.752
"Fruits, prepared or preserved","2018","January","Philippines",12.091
"Fruits, prepared or preserved","2018","January","Turkey",13.033
"Fruits, prepared or preserved","2018","January","Chile",10.067
"Fruits, prepared or preserved","2018","January","South Korea",8.788
"Fruits, prepared or preserved","2018","January","Ecuador",5.334
"Fruits, prepared or preserved","2018","January","World",274.445
"Fruits, prepared or preserved","2018","February","Mexico",50.703
"Fruits, prepared or preserved","2018","February","China",46.06
"Fruits, prepared or preserved","2018","February","Thailand",23.774
"Fruits, prepared or preserved","2018","February","Canada",20.64
"Fruits, prepared or preserved","2018","February","European Union-28 3/",16.394
"Fruits, prepared or preserved","2018","February","Philippines",9.066
"Fruits, prepared or preserved","2018","February","Turkey",10.508
"Fruits, prepared or preserved","2018","February","Chile",5.846
"Fruits, prepared or preserved","2018","February","South Korea",7.903
"Fruits, prepared or preserved","2018","February","Ecuador",7.146
"Fruits, prepared or preserved","2018","February","World",241.72
"Fruits, prepared or preserved","2018","March","Mexico",53.777
"Fruits, prepared or preserved","2018","March","China",47.445
"Fruits, prepared or preserved","2018","March","Thailand",25.603
"Fruits, prepared or preserved","2018","March","Canada",21.141
"Fruits, prepared or preserved","2018","March","European Union-28 3/",19.832
"Fruits, prepared or preserved","2018","March","Philippines",10.948
"Fruits, prepared or preserved","2018","March","Turkey",8.279
"Fruits, prepared or preserved","2018","March","South Korea",9.69
"Fruits, prepared or preserved","2018","March","Chile",7.048
"Fruits, prepared or preserved","2018","March","Ecuador",9.154
"Fruits, prepared or preserved","2018","March","World",261.211
"Fruits, prepared or preserved","2018","April","Mexico",54.612
"Fruits, prepared or preserved","2018","April","China",43.478
"Fruits, prepared or preserved","2018","April","Thailand",29.522
"Fruits, prepared or preserved","2018","April","Canada",22.378
"Fruits, prepared or preserved","2018","April","European Union-28 3/",21.124
"Fruits, prepared or preserved","2018","April","Philippines",12.374
"Fruits, prepared or preserved","2018","April","Turkey",8.134
"Fruits, prepared or preserved","2018","April","South Korea",8.92
"Fruits, prepared or preserved","2018","April","Chile",8.035
"Fruits, prepared or preserved","2018","April","Ecuador",8.405
"Fruits, prepared or preserved","2018","April","World",267.57
"Fruits, prepared or preserved","2018","May","Mexico",55.427
"Fruits, prepared or preserved","2018","May","China",53.439
"Fruits, prepared or preserved","2018","May","Thailand",25.174
"Fruits, prepared or preserved","2018","May","Canada",20.211
"Fruits, prepared or preserved","2018","May","European Union-28 3/",21.37
"Fruits, prepared or preserved","2018","May","Philippines",21.098
"Fruits, prepared or preserved","2018","May","Turkey",9.145
"Fruits, prepared or preserved","2018","May","South Korea",9.487
"Fruits, prepared or preserved","2018","May","Chile",8.651
"Fruits, prepared or preserved","2018","May","Ecuador",9.371
"Fruits, prepared or preserved","2018","May","World",287.729
"Fruits, prepared or preserved","2018","June","Mexico",49.726
"Fruits, prepared or preserved","2018","June","China",52.374
"Fruits, prepared or preserved","2018","June","Thailand",25.33
"Fruits, prepared or preserved","2018","June","Canada",20.083
"Fruits, prepared or preserved","2018","June","European Union-28 3/",20.178
"Fruits, prepared or preserved","2018","June","Philippines",14.8
"Fruits, prepared or preserved","2018","June","Turkey",9.818
"Fruits, prepared or preserved","2018","June","Chile",11.453
"Fruits, prepared or preserved","2018","June","South Korea",8.261
"Fruits, prepared or preserved","2018","June","Ecuador",6.595
"Fruits, prepared or preserved","2018","June","World",272.794
"Fruits, prepared or preserved","2018","July","Mexico",52.54
"Fruits, prepared or preserved","2018","July","China",47.09
"Fruits, prepared or preserved","2018","July","Thailand",42.138
"Fruits, prepared or preserved","2018","July","Canada",21.819
"Fruits, prepared or preserved","2018","July","European Union-28 3/",23.746
"Fruits, prepared or preserved","2018","July","Philippines",14.178
"Fruits, prepared or preserved","2018","July","Turkey",5.441
"Fruits, prepared or preserved","2018","July","Chile",12.514
"Fruits, prepared or preserved","2018","July","South Korea",8.197
"Fruits, prepared or preserved","2018","July","Ecuador",6.401
"Fruits, prepared or preserved","2018","July","World",294.298
"Fruits, prepared or preserved","2018","August","Mexico",57.98
"Fruits, prepared or preserved","2018","August","China",45.126
"Fruits, prepared or preserved","2018","August","Thailand",31.868
"Fruits, prepared or preserved","2018","August","Canada",20.43
"Fruits, prepared or preserved","2018","August","European Union-28 3/",21.101
"Fruits, prepared or preserved","2018","August","Philippines",12.998
"Fruits, prepared or preserved","2018","August","Chile",16.924
"Fruits, prepared or preserved","2018","August","Turkey",5.813
"Fruits, prepared or preserved","2018","August","South Korea",6.959
"Fruits, prepared or preserved","2018","August","Ecuador",7.139
"Fruits, prepared or preserved","2018","August","World",288.92
"Fruits, prepared or preserved","2018","September","Mexico",53.296
"Fruits, prepared or preserved","2018","September","China",45.77
"Fruits, prepared or preserved","2018","September","Thailand",30.692
"Fruits, prepared or preserved","2018","September","Canada",22.409
"Fruits, prepared or preserved","2018","September","European Union-28 3/",16.125
"Fruits, prepared or preserved","2018","September","Philippines",12.392
"Fruits, prepared or preserved","2018","September","Chile",13.592
"Fruits, prepared or preserved","2018","September","Turkey",4.779
"Fruits, prepared or preserved","2018","September","South Korea",8.055
"Fruits, prepared or preserved","2018","September","Ecuador",5.735
"Fruits, prepared or preserved","2018","September","World",264.907
"Fruits, prepared or preserved","2018","October","Mexico",60.906
"Fruits, prepared or preserved","2018","October","China",43.055
