"product_type","year","month","export_value"
"Fruits, fresh","2018","June",507.868
"Fruits, fresh","2018","July",539.055
"Fruits, fresh","2018","August",374.986
"Fruits, fresh","2018","September",370.257
"Fruits, fresh","2018","October",389.209
"Fruits, fresh","2018","November",412.853
"Fruits, fresh","2018","December",285.459
"Fruits, prepared or preserved","2018","January",125.716
"Fruits, prepared or preserved","2018","February",132.861
"Fruits, prepared or preserved","2018","March",151.153
"Fruits, prepared or preserved","2018","April",145.2
"Fruits, prepared or preserved","2018","May",148.173
"Fruits, prepared or preserved","2018","June",145.268
"Fruits, prepared or preserved","2018","July",132.253
"Fruits, prepared or preserved","2018","August",130.345
"Fruits, prepared or preserved","2018","September",130.872
"Fruits, prepared or preserved","2018","October",139.989
"Fruits, prepared or preserved","2018","November",138.355
"Fruits, prepared or preserved","2018","December",130.671
"Fruit juices","2018","January",70.923
"Fruit juices","2018","February",71.314
"Fruit juices","2018","March",87.952
"Fruit juices","2018","April",79.502
"Fruit juices","2018","May",77.875
"Fruit juices","2018","June",82.228
"Fruit juices","2018","July",71.624
"Fruit juices","2018","August",69.138
"Fruit juices","2018","September",73.5
"Fruit juices","2018","October",69.952
"Fruit juices","2018","November",72.022
"Fruit juices","2018","December",66.512
"Vegetables & products","2018","January",546.965
"Vegetables & products","2018","February",531.868
"Vegetables & products","2018","March",614.506
"Vegetables & products","2018","April",605.706
"Vegetables & products","2018","May",645.805
"Vegetables & products","2018","June",617.122
"Vegetables & products","2018","July",543.193
"Vegetables & products","2018","August",526.271
"Vegetables & products","2018","September",521.558
"Vegetables & products","2018","October",563.567
"Vegetables & products","2018","November",593.915
"Vegetables & products","2018","December",611.842
"Vegetables, fresh","2018","January",211.208
"Vegetables, fresh","2018","February",196.932
"Vegetables, fresh","2018","March",238.41
"Vegetables, fresh","2018","April",222.825
"Vegetables, fresh","2018","May",255.968
"Vegetables, fresh","2018","June",234.509
"Vegetables, fresh","2018","July",196.122
"Vegetables, fresh","2018","August",174.993
"Vegetables, fresh","2018","September",177.195
"Vegetables, fresh","2018","October",198.472
"Vegetables, fresh","2018","November",223.341
"Vegetables, fresh","2018","December",248.751
"Vegetables, prepared or preserved","2018","January",335.756
"Vegetables, prepared or preserved","2018","February",334.934
"Vegetables, prepared or preserved","2018","March",376.096
"Vegetables, prepared or preserved","2018","April",382.881
"Vegetables, prepared or preserved","2018","May",389.838
"Vegetables, prepared or preserved","2018","June",382.612
"Vegetables, prepared or preserved","2018","July",347.071
"Vegetables, prepared or preserved","2018","August",351.278
"Vegetables, prepared or preserved","2018","September",344.363
"Vegetables, prepared or preserved","2018","October",365.094
"Vegetables, prepared or preserved","2018","November",370.574
"Vegetables, prepared or preserved","2018","December",363.09
"Tree nuts & preparations","2018","January",715.757
"Tree nuts & preparations","2018","February",805.074
"Tree nuts & preparations","2018","March",862.297
"Tree nuts & preparations","2018","April",709.72
"Tree nuts & preparations","2018","May",601.816
"Tree nuts & preparations","2018","June",588.631
"Tree nuts & preparations","2018","July",545.939
"Tree nuts & preparations","2018","August",510.587
"Tree nuts & preparations","2018","September",616.582
"Tree nuts & preparations","2018","October",998.377
"Tree nuts & preparations","2018","November",1247.067
"Tree nuts & preparations","2018","December",964.215
"Wine","2018","January",91.261
"Wine","2018","February",118.69
"Wine","2018","March",116.8
"Wine","2018","April",121.382
"Wine","2018","May",114.646
"Wine","2018","June",115.509
"Wine","2018","July",160.252
"Wine","2018","August",113.239
"Wine","2018","September",101.828
"Wine","2018","October",122.576
"Wine","2018","November",112.213
"Wine","2018","December",110.885
"Cotton & linters","2018","January",635.154
"Cotton & linters","2018","February",788.375
"Cotton & linters","2018","March",906.864
"Cotton & linters","2018","April",859.314
"Cotton & linters","2018","May",789.31
"Cotton & linters","2018","June",577.638
"Cotton & linters","2018","July",445.978
"Cotton & linters","2018","August",335.93
"Cotton & linters","2018","September",295.404
"Cotton & linters","2018","October",245.953
"Cotton & linters","2018","November",284.494
"Cotton & linters","2018","December",409.755
"Tobacco, unmanufactured","2018","January",57.221
"Tobacco, unmanufactured","2018","February",97.957
"Tobacco, unmanufactured","2018","March",213.797
"Tobacco, unmanufactured","2018","April",115.384
"Tobacco, unmanufactured","2018","May",62.516
"Tobacco, unmanufactured","2018","June",123.559
"Tobacco, unmanufactured","2018","July",94.416
"Tobacco, unmanufactured","2018","August",65.483
"Tobacco, unmanufactured","2018","September",55.407
"Tobacco, unmanufactured","2018","October",70.152
"Tobacco, unmanufactured","2018","November",37.029
"Tobacco, unmanufactured","2018","December",60.745
"Sugar & tropical products","2018","January",379.296
"Sugar & tropical products","2018","February",376.812
"Sugar & tropical products","2018","March",420.086
"Sugar & tropical products","2018","April",410.615
"Sugar & tropical products","2018","May",440.761
"Sugar & tropical products","2018","June",436.837
"Sugar & tropical products","2018","July",408.559
"Sugar & tropical products","2018","August",446.542
"Sugar & tropical products","2018","September",425.188
"Sugar & tropical products","2018","October",450.132
"Sugar & tropical products","2018","November",434.501
"Sugar & tropical products","2018","December",381.985
